Email,Filename,Rating,original Rating
1,fty1.jpg,2,
2,fty1.jpg,3,3
3,fty1.jpg,2,
4,fty1.jpg,1,
5,fty1.jpg,3,
6,fty1.jpg,2,
7,fty1.jpg,2,
8,fty1.jpg,3,
9,fty1.jpg,3,
10,fty1.jpg,3,
11,fty1.jpg,3,
12,fty1.jpg,2,
13,fty1.jpg,3,3
14,fty1.jpg,3,
15,fty1.jpg,2,
16,fty1.jpg,1,
17,fty1.jpg,3,
18,fty1.jpg,3,
19,fty1.jpg,2,
20,fty1.jpg,3,
21,fty1.jpg,2,
22,fty1.jpg,3,
23,fty1.jpg,2,
24,fty1.jpg,1,
25,fty1.jpg,3,
26,fty1.jpg,2,
27,fty1.jpg,3,
28,fty1.jpg,2,
29,fty1.jpg,2,
30,fty1.jpg,1,
31,fty1.jpg,3,
32,fty1.jpg,1,3
33,fty1.jpg,3,
34,fty1.jpg,2,
35,fty1.jpg,2,
36,fty1.jpg,2,
37,fty1.jpg,3,3
38,fty1.jpg,3,
39,fty1.jpg,3,2
40,fty1.jpg,3,
41,fty1.jpg,2,
42,fty1.jpg,2,
43,fty1.jpg,2,
44,fty1.jpg,2,
45,fty1.jpg,2,
46,fty1.jpg,3,
47,fty1.jpg,3,
48,fty1.jpg,2,
49,fty1.jpg,2,
50,fty1.jpg,1,
51,fty1.jpg,2,
52,fty1.jpg,3,3
53,fty1.jpg,3,
54,fty1.jpg,3,3
55,fty1.jpg,3,
56,fty1.jpg,2,
57,fty1.jpg,2,
58,fty1.jpg,2,
59,fty1.jpg,1,
60,fty1.jpg,3,
1,fty2.jpg,4,
2,fty2.jpg,3,3
3,fty2.jpg,4,
4,fty2.jpg,3,
5,fty2.jpg,4,
6,fty2.jpg,3,
7,fty2.jpg,4,
8,fty2.jpg,4,
9,fty2.jpg,3,
10,fty2.jpg,4,
11,fty2.jpg,3,
12,fty2.jpg,4,
13,fty2.jpg,4,5
14,fty2.jpg,4,
15,fty2.jpg,3,
16,fty2.jpg,4,
17,fty2.jpg,5,
18,fty2.jpg,4,
19,fty2.jpg,4,
20,fty2.jpg,4,
21,fty2.jpg,4,
22,fty2.jpg,4,
23,fty2.jpg,4,
24,fty2.jpg,5,
25,fty2.jpg,5,
26,fty2.jpg,4,
27,fty2.jpg,4,
28,fty2.jpg,4,
29,fty2.jpg,3,
30,fty2.jpg,4,
31,fty2.jpg,4,
32,fty2.jpg,3,1
33,fty2.jpg,5,
34,fty2.jpg,5,
35,fty2.jpg,5,
36,fty2.jpg,5,
37,fty2.jpg,3,3
38,fty2.jpg,4,
39,fty2.jpg,3,4
40,fty2.jpg,5,
41,fty2.jpg,5,
42,fty2.jpg,4,
43,fty2.jpg,3,
44,fty2.jpg,5,
45,fty2.jpg,4,
46,fty2.jpg,4,
47,fty2.jpg,4,
48,fty2.jpg,3,
49,fty2.jpg,4,
50,fty2.jpg,4,
51,fty2.jpg,3,
52,fty2.jpg,4,3
53,fty2.jpg,4,
54,fty2.jpg,4,4
55,fty2.jpg,4,
56,fty2.jpg,5,
57,fty2.jpg,4,
58,fty2.jpg,4,
59,fty2.jpg,3,
60,fty2.jpg,4,
1,fty3.jpg,5,
2,fty3.jpg,3,4
3,fty3.jpg,5,
4,fty3.jpg,2,
5,fty3.jpg,3,
6,fty3.jpg,3,
7,fty3.jpg,3,
8,fty3.jpg,3,
9,fty3.jpg,3,
10,fty3.jpg,3,
11,fty3.jpg,2,
12,fty3.jpg,3,
13,fty3.jpg,4,4
14,fty3.jpg,3,
15,fty3.jpg,3,
16,fty3.jpg,1,
17,fty3.jpg,4,
18,fty3.jpg,4,
19,fty3.jpg,4,
20,fty3.jpg,4,
21,fty3.jpg,2,
22,fty3.jpg,3,
23,fty3.jpg,3,
24,fty3.jpg,3,
25,fty3.jpg,5,
26,fty3.jpg,3,
27,fty3.jpg,4,
28,fty3.jpg,3,
29,fty3.jpg,3,
30,fty3.jpg,2,
31,fty3.jpg,3,
32,fty3.jpg,4,4
33,fty3.jpg,3,
34,fty3.jpg,3,
35,fty3.jpg,3,
36,fty3.jpg,2,
37,fty3.jpg,3,5
38,fty3.jpg,3,
39,fty3.jpg,4,5
40,fty3.jpg,4,
41,fty3.jpg,4,
42,fty3.jpg,4,
43,fty3.jpg,5,
44,fty3.jpg,3,
45,fty3.jpg,3,
46,fty3.jpg,3,
47,fty3.jpg,2,
48,fty3.jpg,2,
49,fty3.jpg,3,
50,fty3.jpg,5,
51,fty3.jpg,3,
52,fty3.jpg,3,3
53,fty3.jpg,3,
54,fty3.jpg,3,4
55,fty3.jpg,3,
56,fty3.jpg,4,
57,fty3.jpg,2,
58,fty3.jpg,3,
59,fty3.jpg,2,
60,fty3.jpg,3,
1,fty4.jpg,3,
2,fty4.jpg,3,3
3,fty4.jpg,3,
4,fty4.jpg,1,
5,fty4.jpg,3,
6,fty4.jpg,3,
7,fty4.jpg,3,
8,fty4.jpg,3,
9,fty4.jpg,2,
10,fty4.jpg,3,
11,fty4.jpg,3,
12,fty4.jpg,2,
13,fty4.jpg,3,3
14,fty4.jpg,2,
15,fty4.jpg,2,
16,fty4.jpg,3,
17,fty4.jpg,3,
18,fty4.jpg,3,
19,fty4.jpg,3,
20,fty4.jpg,3,
21,fty4.jpg,2,
22,fty4.jpg,3,
23,fty4.jpg,2,
24,fty4.jpg,3,
25,fty4.jpg,3,
26,fty4.jpg,3,
27,fty4.jpg,3,
28,fty4.jpg,2,
29,fty4.jpg,2,
30,fty4.jpg,2,
31,fty4.jpg,3,
32,fty4.jpg,3,2
33,fty4.jpg,3,
34,fty4.jpg,1,
35,fty4.jpg,3,
36,fty4.jpg,3,
37,fty4.jpg,3,2
38,fty4.jpg,3,
39,fty4.jpg,3,2
40,fty4.jpg,3,
41,fty4.jpg,3,
42,fty4.jpg,2,
43,fty4.jpg,3,
44,fty4.jpg,4,
45,fty4.jpg,3,
46,fty4.jpg,3,
47,fty4.jpg,3,
48,fty4.jpg,1,
49,fty4.jpg,3,
50,fty4.jpg,2,
51,fty4.jpg,2,
52,fty4.jpg,3,3
53,fty4.jpg,3,
54,fty4.jpg,3,3
55,fty4.jpg,3,
56,fty4.jpg,3,
57,fty4.jpg,2,
58,fty4.jpg,2,
59,fty4.jpg,3,
60,fty4.jpg,3,
1,fty5.jpg,1,
2,fty5.jpg,3,1
3,fty5.jpg,1,
4,fty5.jpg,1,
5,fty5.jpg,2,
6,fty5.jpg,2,
7,fty5.jpg,3,
8,fty5.jpg,3,
9,fty5.jpg,2,
10,fty5.jpg,2,
11,fty5.jpg,3,
12,fty5.jpg,2,
13,fty5.jpg,3,3
14,fty5.jpg,2,
15,fty5.jpg,2,
16,fty5.jpg,1,
17,fty5.jpg,2,
18,fty5.jpg,2,
19,fty5.jpg,2,
20,fty5.jpg,3,
21,fty5.jpg,2,
